species	haploid chromosome count	monobrachial chromosomes	bibachrial chromosomes	proportion monobrachial
Caluromys philander	7	0	12	0
Caluromys derbianus	7	0	12	0
Chironectes minimus	11	20	0	1
Didelphis albiventris	11	20	0	1
Didelphis marsupialis	11	20	0	1
Didelphis virginiana	11	8	12	0.4
Philander mcilhennyi	11	20	0	1
Philander opossum	11	20	0	1
Lutreolina crassicaudata	11	20	0	1
Metachirus nudicaudatus	7	0	12	0
Marmosops fuscatus	7	0	12	0
Marmosops incanus	7	0	12	0
Thylamys elegans	7	2	10	0.17
Thylamys pusillus	7	0	12	0
Marmosa mexicana	7	0	12	0
Micoureus paraguayanus	7	0	12	0
Micoureus alstoni	7	0	12	0
Marmosa murina	7	0	12	0
Marmosa robinsoni	7	0	12	0
Monodelphis brevicaudata	9	2	14	0.13
Monodelphis domestica	9	12	4	0.75
Monodelphis dimidiata	9	2	14	0.13
